clearstoryProjectId,jobNumber,projectName,status,matches,clearstoryApprovedAtpAndCoIssuedUsd,sitelineLatestTotalUsd,differenceUsd,sitelineContractCount
68700,12136,12136 - Sharp Ledenhall ES - Project C.O.R.E. COR-030 // DD-014,missing_siteline,,341500,,,0
73490,12137,12137 - CORE Demo COR-031,missing_siteline,,1152087.33,,,0
161388,12201 - 02,12201 - 2718 - 2734 Prospect St,missing_siteline,,0,,,0
166039,12201 - 03,12201 - 2525-2533 Pennsylvania Ave,missing_siteline,,0,,,0
189351,12201-04,12201,missing_siteline,,0,,,0
31030,13223,"13223 - Langston Hughes Middle School (Procure, and install tarps for WM)",missing_siteline,,1027.69,,,0
35028,"13400 - B-1450 Asbestos Abatement, On-Call, Term Contract","13400 - B-1450 Asbestos Abatement, On-Call, Term Contract (Master Agreement",missing_siteline,,0,,,0
118758,13800,13800 - MNCPPC - Emergency response,missing_siteline,,75000,,,0
89094,14004,14004 - 5419 Crismer Ave - Lead,missing_siteline,,5350,,,0
70811,14501,14501 - Cardinal FES (FCPS),missing_siteline,,1,,,0
97396,14522,14522 - Mosaic ES (FCPS Hazmat),missing_siteline,,28524.24,,,0
64564,14700,"14700 - Asbestos Abatement Services, City of Baltimore (B50006097)",missing_siteline,,918335.08,,,0
76673,15000,"15000 - Demolition Services, On-Call, Term Contract (Baltimore County)",missing_siteline,,0,,,0
207123,15002,15002 - 12074 Falls Road Demo (Balt County) (Goel- NS) (TS-LL),missing_siteline,,51654.6,,,0
76265,15200,"15200 - ANNUAL CONTRACT FOR HAZARDOUS MATERIAL ABATEMENT, DEMOLITION, AND ROUGH GRADING CONSTRUCTION SERVICES PROJECT NO. 2G40-162-004",missing_siteline,,0,,,0
77771,15400,15400 - Arlington County On-Call Residential Demolition Services,missing_siteline,,0,,,0
115369,16000,16000 - FCPS Hazmat Contract 2024,missing_siteline,,0,,,0
175286,16051,16051 - Wilton Woods Center,missing_siteline,,94510,,,0
179881,16056,16056 - Lorton Center-Phase 2,missing_siteline,,0,,,0
83219,18900,18900 - Amtrak BP Tunnel Demo (DCB),missing_siteline,,0,,,0
73309,18900,18900 - Amtrak BP Tunnel Demo,missing_siteline,,272744.4,,,0
85183,18901,"18901 - 900 W. North, Baltimore, MD",missing_siteline,,633765.36,,,0
86396,18902,"18902 - 920 W. North Baltimore, MD",missing_siteline,,0,,,0
116131,18906,"18906 - 813 N. Pulaski, Baltimore, MD",missing_siteline,,0,,,0
99504,19000,19000 - Baltimore City Building Demolition (PRIME) Term Contract,missing_siteline,,0,,,0
185603,19000,19000 - ISSUE #2 - Emergency Response with Partial Demolition - additional labor and equipment,missing_siteline,,10000000,,,0
125150,19000,P&J Supplemental Work,missing_siteline,,0,,,0
186190,19000,19000 - Issue 1 Regulated asbestos containing materials (RACM),missing_siteline,,10000000,,,0
187294,19000,19000 - Issue 2 Accessible RACM removal from party walls - excluded from the contract,missing_siteline,,10000000,,,0
187306,19000,19000 - Issue 3 Emergency response without full demolition requiring additional labor and equipment,missing_siteline,,10000000,,,0
187308,19000,19000 - Issue 5 Concrete removal or replacement for steps added post emergency as punchlist work requiring extra time and labor,missing_siteline,,10000000,,,0
187861,19000,19000 - Issue 5A Non Emergency Concrete removal or replacement for steps and pre existing sidewalk conditions unpaid by DHCD,missing_siteline,,10000000,,,0
141635,19029,19029 - 607 Bartlett Avenue,missing_siteline,,0,,,0
161402,19053,19053 -1902 & 1904 Dukeland St. - EMG,missing_siteline,,0,,,0
28108,21001,21001 - Central HS,missing_siteline,,771945,,,0
27569,21002,21002 - New Residence Hall,missing_siteline,,942000,,,0
31060,21003,21003 - UMCP New Residence TAB,missing_siteline,,270000,,,0
29341,21004,21004 - UMCP New Residence Sheet Metal (JCM),missing_siteline,,3192975,,,0
39412,21005,21005 - UMCP - New Residence Hall ATC (JCM),missing_siteline,,1044315,,,0
28432,21007,21007 - UMMC Sheet Metal (JCM),missing_siteline,,1399444,,,0
27571,21010,21010 - City Hall College Park,missing_siteline,,211690,,,0
29881,21011,21011 - Stone Ridge Student Life Center,missing_siteline,,206850,,,0
28068,21012,21012 - Govans ES,missing_siteline,,490000,,,0
27574,21014,21014 -  IDEA Factory - (Mallick) (DCB-NS)(DR-AS),missing_siteline,,499020,,,0
28067,21015,21015 - Carroll County Career Tech Center (Warner)(DCB-PW)(DR-AS),missing_siteline,,1080431.76,,,0
27570,21016,21016 - Dining Facility,missing_siteline,,370131,,,0
35436,21017,21017 - Bowie State University Chiller Replacement,missing_siteline,,14600,,,0
28468,21018,21018 - IDEA Factory Sheet Metal (Mallick),missing_siteline,,898380,,,0
28519,21019,21019 - IDEA Factory Controls (Mallick),missing_siteline,,821583,,,0
28114,21021,21021 - UM BRB 11 Lab Renovation-Phase 2,missing_siteline,,23730,,,0
28282,21023,21023 - WMATA HQ Office - (S&D) (DCB-NS)(DR-AS),missing_siteline,,1736430,,,0
28084,21025,21025 - UMB Bressler Lab Renovation,missing_siteline,,24320,,,0
28118,21026,21026 - UM-Baltimore Medical Center,missing_siteline,,168610,,,0
28124,21027,21027 - Gaithersburg Cluster ES (Rommel) (DCB - NS) (DRo/SU),missing_siteline,,322000,,,0
28302,21028,21028 - UMD - Chemistry Building,missing_siteline,,14000,,,0
47646,21032,21032 - Fallsmead ES - (Warner)(DCB-NS)(HP/CC),missing_siteline,,231800,,,0
33620,21033,21033 - UMUCH Medical Center @ Aberdeen,missing_siteline,,202000,,,0
35996,21034,21034 - FCC Linganore Hall Renovations (Bldg L.) (Warner)(DCB-PW)(DR/AS),missing_siteline,,272920,,,0
37025,21035,21035 - UMUCH MOD IT @ Aberdeen,missing_siteline,,39995,,,0
33053,21036,21036 - Montebello Elementary/Middle School,missing_siteline,,252550,,,0
81883,21038,21038 - PGCPS Fab HVAC Upgrade (D10740 - DEL15),missing_siteline,,170500,,,0
44897,21040,21040 - Howard Hall 4th Floor - (Emjay) (DCB-PW)(HP/CC),missing_siteline,,1280,,,0
33983,21041,21041 - JHU Wyman Park Building (Emjay)(DC-NS)(RD/JS),missing_siteline,,302225,,,0
50124,21043,21043 - Towson University - Glen Tower Renovation (DCB-PW)(RD/JS),missing_siteline,,306138.81,,,0
36744,21044,21044 - UMCP Chem Wing 1 Replacement (P&K)(DCB-NS(DR/AS),missing_siteline,,540200,,,0
43335,21045,21045 - UMCP - Chemistry Wing 1 Replacement - (W.G. Tomko) (DCB-PW)(DR/AS),missing_siteline,,130000,,,0
43037,21048,21048 - Bladenburg Bus Garage(S&D)(DCB-PW),missing_siteline,,589172.7,,,0
35710,21050,21050 - Towson University - CHP(WG Tomko)(DCB-PW)(RD/JS),missing_siteline,,2233265.45,,,0
49632,21052,21052 - Sibley Hospital Endoscopy,missing_siteline,,2500,,,0
48301,21053,21053 - Sibley Hospital (ICU),missing_siteline,,60000,,,0
55919,21055,21055 - Morgan State University-HHS Blg. (DCB-PW)(RD/JS),missing_siteline,,1757911.47,,,0
49807,21056,21056 - UMCP - Woods Halls HVAC Renovation - (Denver Elek) (DCB-NS)(HP/CC),missing_siteline,,63200,,,0
49989,21057,21057 - McDonough High School Phase 1 Project (Ronco)(DCB-PW)(TB/RF),missing_siteline,,198915.37,,,0
43647,21058,21058 - MICA Mosher (Ariosa & Company),missing_siteline,,190000,,,0
48226,21059,21059 - Piscataway Effluent Filters - (PC Const) (DCB-PW)(HP/CC),missing_siteline,,113220,,,0
53335,21060,21060 - UMSON - School of Nursing Expansion - (Temp Air) (DCB-PW)(RD/JS),missing_siteline,,85300,,,0
42123,21061,21061 - Adelphi MS,missing_siteline,,615000,,,0
50035,21062,21062 - Adelphi MS (Sheet Metal),missing_siteline,,1620300,,,0
42125,21063,21063 - Drew Freeman Middle School - (S&D) (DCB-PW)(TB/RF),missing_siteline,,615000,,,0
42150,21064,21064 - Drew Freeman MS Sheet Metal,missing_siteline,,1620300,,,0
42126,21065,21065 - Kenmore Middle School - (S&D) (DCB-PW)(TB/RF),missing_siteline,,615000,,,0
44224,21066,21066 - Kenmoor Middle School - Sheet Metal,missing_siteline,,1620300,,,0
42148,21067,21067 - Walker Mill Middle School - S&D (DCB-PW)(TB/RF),missing_siteline,,615000,,,0
44225,21068,21068 - Walker Mills Middle School - Sheet Metal,missing_siteline,,1620300,,,0
41551,21069,21070 - Baltimore Arena -(JCM) (DCB-NS)(RD/JS),missing_siteline,,374340,,,0
43155,21070,21070 - Baltimore Arena Renovations,missing_siteline,,1756100,,,0
100014,21071,21071 - MDOT Glen Burnie Renovation (W.L Gary)(DCB-PW)(HP/CC),missing_siteline,,78022.26,,,0
61108,21072,21072 - Mary E. Rodman Rec Center (Horton)(DCB-PW)(RD/JS),missing_siteline,,2275,,,0
48681,21073,21073 - Bowie State Comm. Arts & Humanities Bldg. (Tomko) (DCB-PW)(RD/JS),missing_siteline,,1357629.65,,,0
53544,21074,21074 - DLS MSA Razing & Replacement (Anchor)(DCB-PW)(RD/JS),missing_siteline,,1059912.31,,,0
57495,21075,21075 - GMU Life Sciences & Engineering Building (Warner),missing_siteline,,950000,,,0
54959,21076,21076 - Neelsville MS,missing_siteline,,505854.73,,,0
92140,21078,21078 - PGCPS Northwestern Chiller (S$D) (DCB-NS)(HP/CC),missing_siteline,,5300,,,0
72256,21079,21079 - Lansdowne High School (DCB-PW)(RD/JS),missing_siteline,,1415464.37,,,0
70819,21080,21080 - Perry Hall HS (Towson)(DCB-PW)(HP/CC),missing_siteline,,223964.53,,,0
87290,21081,21081 - Furley ES (Towson) (DCB-PW)(RD/JS),missing_siteline,,525571.96,,,0
67866,21082,21082 - UMCP Montgomery Hall (S&D) (DCB-NS)(HP/CC),missing_siteline,,44500,,,0
63262,21083,21083 - JHU Student Center (Southland) (DCB-PW)(HP/CC),missing_siteline,,831900,,,0
67231,21084,21084 - UMD Easton Hall AC Phase 2 (Jeffrey Brown) (DCB-NS)(HP/CC),missing_siteline,,31800,,,0
70708,21085,21085 - UMD Cumberland Hall (ACI)(DCB-NS)(HP/CC),missing_siteline,,24000,,,0
68129,21086,21086 - UMCP CARF Chiller (W.L. Gary) (DCB-NS)(HP/CC),missing_siteline,,9400,,,0
70713,21087,21087 - UMCP Jimenez Hall (Denver-Elek) (DCB-NS)(HP/CC),missing_siteline,,89900,,,0
104266,21089,21089 - Chesapeake HS Mech Upgrades (Denver-Elek) (DCB-PW)(RD/JS),missing_siteline,,302955.79,,,0
84691,21090,21090 - Monocacy ES Limited Renovation (DCB-PW)(DR/AS),missing_siteline,,87400,,,0
70551,21091,21091 - Silver Springs International MS (DCB-NS)(HP/CC),missing_siteline,,98200,,,0
149237,21096,21096 - UMCP -Scub 3 Hydronic Piping (S&D)(DCB-PW)(DRo/CC),missing_siteline,,37463,,,0
78523,21097,21097 - James Madison ES (Pro Tech) (DCB-PW)(RD/JS),missing_siteline,,318000,,,0
104550,21099,21099 - Gaithersburg MS HVAC Replacement (S&D) (DCB-NS)(HP/CC),missing_siteline,,207500,,,0
85431,21103,21103 - UMD Basketball Performance Center (R&R Mech) (DCB-NS)(HP/CC),missing_siteline,,196806.44,,,0
82678,21104,21104 - BCPD SW Police Station Roofing - (Spears Mech) (DCB-PW)(RD/JS),missing_siteline,,10500,,,0
96116,21106,21106 - Dulles Discovery (WE Bowers - Clark) (DCB-PW)(TB/RF),missing_siteline,,269664,,,0
122587,21108,21108 - ATRF Buildings B&D Reno 11029 (Denver-Elek)(DCB-PW)(RD/JS),missing_siteline,,27400,,,0
78735,21111,21111 - M&T Bank Stadium (DCB-PW)(RD/JS),missing_siteline,,274811.57,,,0
86531,21112,21112 - M&T Bank Stadium - Black Wing Club (Denver-Elek) (DCB-PW)(RD/JS),missing_siteline,,181194.43,,,0
95043,211126,21126 - AMTRAK Terminal,missing_siteline,,191000,,,0
83827,21113,21113 - M&T Bank Stadium - New Press Box (Denver-Elek)(DCB-PW)(RD/JS),missing_siteline,,95919.03,,,0
92146,21114,21114 - M&T Bank Stadium - Miller Lite (Denver-Elek) (DCB-PW)(RD/JS),missing_siteline,,168996.79,,,0
94727,21115,21115 - M&T Bank Stadium - AHU 1-4 (Denver-Elek) (DCB-PW)(RD/JS),missing_siteline,,51285.01,,,0
88778,21118,21118 - UMCP Zupnik Hall (Bowers) (DCB-PW)(TB/RF),missing_siteline,,1806188.96,,,0
96694,21120,21120 - St. Mary's College (Kent Island)(DCB-NS)(RD/JS),missing_siteline,,126629.54,,,0
96458,21123,21123 - Sandalwood ES 11046 (Denver-Elek) ( DCB-NS)(HP/CC),missing_siteline,,17647,,,0
90439,21124,21124 - UMCP Symons Hall (Kalmia Construction FM24-12336)(DCB-NS)(HP/CC),missing_siteline,,93600,,,0
99173,21125,21125 - UMCP Montogomery Hall Insulation(DCB-NS)(HP/CC),missing_siteline,,55000,,,0
95044,21126,21126 - AMTRAK Terminal,missing_siteline,,101250.34,,,0
102584,21127,21127 - JHH Sibley Memorial Hospital (Denver-Elek) (DCB-NS)(TB/RF),missing_siteline,,132000,,,0
99291,21128,21128 - UMD Denton Hall Dual Temp Pipe Insulation (FM24-131810) (Kalmia) (DCB-NS)(HP/CC),missing_siteline,,38750,,,0
104560,21131,21131 - UMD Cecil Hall Convector Pipe (S&D) (DCB-NS)(HP/CC),missing_siteline,,55000,,,0
131514,21132,21132 - Northeast MS-HS Project (Anchor Mech) (DCB-NS)(HP/CC),missing_siteline,,2305200,,,0
166233,21133,21133 - 301 St & Saratoga Street,missing_siteline,,15000,,,0
104565,21134,21134 - Elkton Denton (S&D D1241)(DCB-NS(HP/CC),missing_siteline,,12000,,,0
97362,21135,21135 - Crown HS (ACME) (DCB-PW)(DR/AS),missing_siteline,,1557012.57,,,0
122135,21136,21136 - Frederick Douglas HS (Worth) (DCB-PW)(RD/JS),missing_siteline,,1003469.45,,,0
131323,21137,21137 – M&T Stadium GMP 11A,missing_siteline,,352428.41,,,0
135126,21138,21138 - M&T Stadium Package 11B,missing_siteline,,233500,,,0
158282,21140,21140 - WMATA Bethesda South Mezzanine (Paramount Mech) (DCB-PW)(TB/RF),missing_siteline,,164788.41,,,0
140158,21141,21141 - Owings Mills ES (Phillips Way) (DCB-PW) (RD/JS),missing_siteline,,125977.22,,,0
130767,21145,21145 - JoAnn Leleck ES (Ariosa) (DCB-PW)(DR/AS),missing_siteline,,719739.06,,,0
138863,21148,21148 - Shock Trauma Blood Bank (Temp Air) (DCB-NS) (RD/JS),missing_siteline,,74300.53,,,0
125032,21149,21149 - PG Stadium (DCB-PW)(DR/AS),missing_siteline,,209975.61,,,0
125576,21150,21150 - JHHS Bayview Neuro IR (Denver-Elek) (DCB-NS)(HP/CC),missing_siteline,,42277.36,,,0
125915,21151,21151 - JHH Meyer 264 Psych (Denver-Elek) (DCB-NS)(HP/CC),missing_siteline,,8600,,,0
128790,21152,21152 - UBALT Learning Commons Insulation (DMC) (DCB-NS)(DR/AS),missing_siteline,,130000,,,0
128796,21153,21153 - UBALT Learning Commons Sheet Metal (DMC) (DCB-NS) (DR/AS),missing_siteline,,101000,,,0
153970,21154,21154 - UMB 737 W. Lombard Street School of Medicine (GE Tignall)(DCB-NS)(DRo/SU),missing_siteline,,171150,,,0
162977,21159,21159 - Burtonsville Elementary School,missing_siteline,,690986,,,0
129974,21161,21161 - Deale ES (Spears) (DCB-PW)(HP/CC),missing_siteline,,7050,,,0
129993,21162,21162 - Horn Point Environmental Lab (Kelly) (DCB-NS)(HP/CC),missing_siteline,,32500,,,0
137817,21164,21164 - GWCC Replace Chillers (Superior Structures) (DCB-PW) (HP/CC),missing_siteline,,75800,,,0
135140,21165,DC Demo,missing_siteline,,1,,,0
166415,21169,21169 - UMUCH 3rd Floor,missing_siteline,,9200,,,0
173834,21170,21170 - BCC Capital Improvements (WG Tomko Clark)(DCB-PW)(RD/JS),missing_siteline,,106799.49,,,0
160584,21172,21172 - Fallon Building Parking Garage,missing_siteline,,60600,,,0
165550,21173,21173 - 100 N Green,missing_siteline,,6200,,,0
165633,21174,21174 - 108 N Greene St,missing_siteline,,12000,,,0
164894,21175,21175 - Symons Hall Phase 2,missing_siteline,,75420.18,,,0
185525,21176,21176 - JHCH Holabird Warehouse (DCB-NS) (DR/AS),missing_siteline,,7100,,,0
185533,21177,21177 - JHH CT Scanner (DCB-NS) (DR/AS),missing_siteline,,3300,,,0
166362,21178,21178 - Patapsco WWTP,missing_siteline,,22500,,,0
178078,21179,21179 - Ravens Stadium Insulation Repairs	(DRo/SU),missing_siteline,,1900,,,0
191457,21180,21180 - UMD Health & Science Bldg (R&R Clark)(DCB-PW)(TB/RF),missing_siteline,,2255000,,,0
207915,21183,21183 - UMCP LaPlata Hall Chiller (DRo / SU),missing_siteline,,10700,,,0
210381,21184,21184 - UMCP Edward St Johns Ph 1 (DRo / SU),missing_siteline,,136000,,,0
185040,21186,21186 - Scotts Branch ES (DR/AS),missing_siteline,,667700,,,0
184492,21189,21189 - Hagerstown Courthouse Plumbing (DCB-PW)(DR/AS),missing_siteline,,17100,,,0
164716,21190,21190 - UMES Medical Center HVAC (Poole & Kent)(DCB-PW)(RD/JS),missing_siteline,,2333000,,,0
194865,21194,21194 - Steam Service Line ( DRo / SU),missing_siteline,,14400,,,0
197571,21194,21194 - Steam Service Line ( DRo / SU),missing_siteline,,14400,,,0
209539,21197,21197 - Owings Mills ES Ph 2 (Philips Way 1110007-026),missing_siteline,,25448,,,0
200206,21198,21198 - Stamp Union Leak Remediation (DRo/SU)(Kalmia),missing_siteline,,48300,,,0
101553,21200,"21200 - GOEL SERVICES, INC.",missing_siteline,,1,,,0
